Nombre,Precio,Gastos_Comunes,Ubicacion,Metros,Habitaciones,Baños
"Santiago, Nataniel Cox & Diez de Julio",$ 390.000,$ 60.000,"Santiago, Nataniel Cox & Diez de Julio",53 m²,2,1
"La Cisterna, Av. Fernández Albano 637",$ 520.000,$ 75.000,"La Cisterna, Av. Fernández Albano 637",57 m²,2,2
"San Miguel, Curiñanca 715",$ 420.000,$ 80.000,"San Miguel, Curiñanca 715",60 m²,2,2
"Independencia, Cruz 1275",$ 370.000,$ 120.000,"Independencia, Cruz 1275",49 m²,2,1
"Independencia, Nueva Andrés Bello 1860",$ 350.000,$ 95.000,"Independencia, Nueva Andrés Bello 1860",47 m²,3,1
"Santiago, San Isidro 635",$ 320.000,$ 90.000,"Santiago, San Isidro 635",37 m²,2,1
"Santiago, Maipú 848",$ 380.000,$ 46.000,"Santiago, Maipú 848",36 m²,2,1
"Santiago, Avenida presidente Balmaceda 2720",$ 280.000,$ 68.000,"Santiago, Avenida presidente Balmaceda 2720",38 m²,1,1
"Macul, Avenida Escuela Agrícola 1710",$ 360.000,$ 105.000,"Macul, Avenida Escuela Agrícola 1710",40 m²,1,1
"Santiago, Marcoleta 444",$ 350.000,$ 65.000,"Santiago, Marcoleta 444",45 m²,1,1
"Santiago, San Francisco 228",$ 325.000,$ 100.000,"Santiago, San Francisco 228",58 m²,2,1
"Providencia, Los Conquistadores 1923",$ 870.000,$ 110.000,"Providencia, Los Conquistadores 1923",122 m²,4,3
"Huechuraba, Avenida Pedro Fontova 7330",$ 640.000,$ 150.000,"Huechuraba, Avenida Pedro Fontova 7330",65 m²,2,2
"Santiago, Santiago 1355",$ 260.000,$ 60.000,"Santiago, Santiago 1355",34 m²,1,1
"Santiago, San Isidro 661",$ 280.000,$ 70.000,"Santiago, San Isidro 661",30 m²,1,1
"Ñuñoa, Av. Vicuña Mackenna 2362",$ 400.000,$ 65.000,"Ñuñoa, Av. Vicuña Mackenna 2362","37,39 m²",1,1
"Santiago, Portugal 958",$ 335.000,$ 35.000,"Santiago, Portugal 958",32 m²,1,1
"Ñuñoa, Doctor Johow 202",$ 700.000,$ 40.000,"Ñuñoa, Doctor Johow 202",79 m²,3,2
"La Florida, Avenida Vicuña Mackenna Poniente 6689",$ 400.000,$ 55.000,"La Florida, Avenida Vicuña Mackenna Poniente 6689","35,23 m²",1,1
"Ñuñoa, Av. Gral. Bustamante 1015",$ 600.000,$ 120.000,"Ñuñoa, Av. Gral. Bustamante 1015",60 m²,2,2
"San Miguel, Décima Avenida 1210",$ 500.000,$ 90.000,"San Miguel, Décima Avenida 1210",65 m²,3,2
"Ñuñoa, Francisco de Villagra 161",$ 550.000,$ 98.000,"Ñuñoa, Francisco de Villagra 161",50 m²,1,1
"La Florida, Avenida Vicuña Mackenna 6491",$ 520.000,$ 78.000,"La Florida, Avenida Vicuña Mackenna 6491",70 m²,2,2
"San Miguel, San Ignacio 2903",$ 490.000,$ 70.000,"San Miguel, San Ignacio 2903",55 m²,2,1
"Santiago, Avenida Santa Isabel 489",$ 460.000,$ 110.000,"Santiago, Avenida Santa Isabel 489",54 m²,2,2
"San Joaquín, Av. Vicuña Mackenna",$ 620.000,$ 150.000,"San Joaquín, Av. Vicuña Mackenna",84 m²,3,2
"Ñuñoa, Los Alerces 2660",$ 450.000,$ 120.000,"Ñuñoa, Los Alerces 2660",32 m²,1,1
"San Miguel, Octava Avenida 1563",$ 620.000,$ 120.000,"San Miguel, Octava Avenida 1563",68 m²,3,2
"Quinta Normal, Avenida Carrascal 6255",$ 300.000,$ 80.000,"Quinta Normal, Avenida Carrascal 6255",38 m²,2,1
"Santiago, San Pablo 2966",$ 300.000,$ 80.000,"Santiago, San Pablo 2966",42 m²,2,1
"Santiago, Avenida Vicuña Mackenna 1231",$ 270.000,$ 50.000,"Santiago, Avenida Vicuña Mackenna 1231",36 m²,1,1
"San Miguel, Décima Avenida 1180",$ 330.000,$ 50.000,"San Miguel, Décima Avenida 1180",41 m²,1,1
"San Joaquín, Av. Vicuña Mackenna 2289",$ 450.000,$ 90.000,"San Joaquín, Av. Vicuña Mackenna 2289",60 m²,2,2
"Quinta Normal, Catedral 4245",$ 250.000,$ 50.000,"Quinta Normal, Catedral 4245",41 m²,1,1
"San Joaquín, Av. Vicuña Mackenna 3737",$ 420.000,$ 80.000,"San Joaquín, Av. Vicuña Mackenna 3737",61 m²,2,2
"San Miguel, Cuarta Avenida 1170",$ 420.000,$ 80.000,"San Miguel, Cuarta Avenida 1170",45 m²,2,1
"Independencia, Carrión 1390",$ 380.000,$ 90.000,"Independencia, Carrión 1390",60 m²,2,1
"Ñuñoa, Av. José Pedro Alessandri",$ 630.000,$ 80.000,"Ñuñoa, Av. José Pedro Alessandri",58 m²,2,2
"San Miguel, Avenida Centenario 1000",$ 560.000,$ 75.000,"San Miguel, Avenida Centenario 1000",60 m²,3,2
"Cerrillos, Martín de Solier 4540",$ 300.000,$ 70.000,"Cerrillos, Martín de Solier 4540",33 m²,1,1
"San Miguel, Gran Avenida 6250",$ 299.000,$ 60.000,"San Miguel, Gran Avenida 6250",35 m²,1,1
"Ñuñoa, Capitán Orella",$ 640.000,$ 135.000,"Ñuñoa, Capitán Orella",2 m²,2,1
"San Joaquín, Pintor Cicarelli 278",$ 280.000,$ 65.000,"San Joaquín, Pintor Cicarelli 278",34 m²,1,1
"Santiago, Diagonal Vicuña Mackenna",$ 465.000,$ 120.000,"Santiago, Diagonal Vicuña Mackenna",47 m²,2,1
"Santiago, Enrique Mac Iver 120",$ 450.000,$ 56.000,"Santiago, Enrique Mac Iver 120",50 m²,1,1
"Santiago, Coquimbo 56",$ 320.000,$ 58.000,"Santiago, Coquimbo 56",35 m²,1,1
"Ñuñoa, San Eugenio 1209",$ 325.000,$ 30,"Ñuñoa, San Eugenio 1209",24 m²,1,1
"Santiago, San Pablo 2966",$ 250.000,$ 70.000,"Santiago, San Pablo 2966",36 m²,1,1
"La Florida, Lago Pirihueico",$ 330.000,$ 60.000,"La Florida, Lago Pirihueico",32 m²,1,1
"Las Condes, Américo Vespucio Norte & Cerro Colorado",$ 1.800.000,$ 187.000,"Las Condes, Américo Vespucio Norte & Cerro Colorado",140 m²,4,3
"Santiago, Avenida Manuel Antonio Matta",$ 320.000,$ 87.000,"Santiago, Avenida Manuel Antonio Matta",34 m²,1,1
"Recoleta, Dardignac 28",$ 460.000,$ 75.000,"Recoleta, Dardignac 28",60 m²,2,2
"La Reina, Loreley 1058, la reina",$ 1.100.000,$ 155.000,"La Reina, Loreley 1058, la reina",120 m²,4,3
"Ñuñoa, Avenida Sucre 1900",$ 980.000,$ 250.000,"Ñuñoa, Avenida Sucre 1900",76 m²,3,2
"Ñuñoa, Avenida Irarrázaval & Avenida Campos de Deportes",$ 550.000,$ 80,"Ñuñoa, Avenida Irarrázaval & Avenida Campos de Deportes",65 m²,2,1
"Santiago, Av.sta rosa 249",$ 320.000,$ 80.000,"Santiago, Av.sta rosa 249",45 m²,2,2
"Estación Central, Av. Alameda Libertador Bernardo O'Higgins 4103",$ 220.000,$ 85.000,"Estación Central, Av. Alameda Libertador Bernardo O'Higgins 4103",36 m²,1,1
"Santiago, Eleuterio Ramírez 1024 CON Estacionamiento",$ 415.000,$ 90.000,"Santiago, Eleuterio Ramírez 1024 CON Estacionamiento",45 m²,2,1
"San Miguel, San Ignacio 2903",$ 360.000,$ 70,"San Miguel, San Ignacio 2903","29,86 m²",1,1
"Santiago, Avenida Santa Rosa 950",$ 475.000,$ 60.000,"Santiago, Avenida Santa Rosa 950",70 m²,3,1
"Santiago, Avenida España",$ 320.000,$ 65,"Santiago, Avenida España",30 m²,1,1
"Santiago, Avenida Almirante Blanco Encalada 2501",$ 370.000,$ 60.000,"Santiago, Avenida Almirante Blanco Encalada 2501",45 m²,1,1
"Santiago, Domeyko 2505",$ 380.000,$ 90.000,"Santiago, Domeyko 2505",42 m²,1,1
"Santiago, Dieciocho 747",$ 330.000,$ 58.000,"Santiago, Dieciocho 747",41 m²,1,1
"San Miguel, Rivas 1050",$ 280.000,$ 58.000,"San Miguel, Rivas 1050",3.330 m²,1,1
"Santiago, Serrano 266",$ 360.000,$ 60.000,"Santiago, Serrano 266",40 m²,2,1
"Recoleta, Domínica 411",$ 390.000,$ 75.000,"Recoleta, Domínica 411","43,7 m²",1,1
"Ñuñoa, Exequiel Fernández 1928",$ 580.000,$ 120.000,"Ñuñoa, Exequiel Fernández 1928",55 m²,2,2
"Santiago, Santa Victoria 366",$ 340.000,$ 77.999,"Santiago, Santa Victoria 366",38 m²,1,1
"Las Condes, Presidente Riesco 6445",$ 950.000,$ 170.000,"Las Condes, Presidente Riesco 6445",90 m²,3,2
"Ñuñoa, Avenida Vicuña Mackenna 1290",$ 400.000,$ 85.000,"Ñuñoa, Avenida Vicuña Mackenna 1290",39 m²,1,1
"La Cisterna, Colón 6479",$ 300.000,$ 59.999,"La Cisterna, Colón 6479",48 m²,3,1
"Las Condes, La Castellana Sur 170",$ 1.000.000,$ 164.225,"Las Condes, La Castellana Sur 170",70 m²,2,2
"San Miguel, Avenida Centenario",$ 440.000,$ 65,"San Miguel, Avenida Centenario",47 m²,2,1
"Estación Central, Conde del Maule 4364",$ 200.000,$ 30.000,"Estación Central, Conde del Maule 4364",22 m²,1,1
"Santiago, San Isidro 10",$ 420.000,$ 62.000,"Santiago, San Isidro 10",43 m²,1,1
"La Cisterna, Arturo Prat",$ 300.000,$ 70.000,"La Cisterna, Arturo Prat",30 m²,1,1
"La Cisterna, Vicuña Mackenna 980",$ 380.000,$ 56.000,"La Cisterna, Vicuña Mackenna 980",46 m²,2,1
"Lampa, La Montaña 4603",$ 610.000,$ 70.000,"Lampa, La Montaña 4603",72 m²,3,2
"Santiago, San Isidro 292 / Marin",$ 430.000,$ 110.000,"Santiago, San Isidro 292 / Marin",55 m²,2,2
"Macul, Av. Macul 3500/ Metro",$ 690.000,$ 140.000,"Macul, Av. Macul 3500/ Metro",90 m²,3,2
"Independencia, Doctor Carlos Lorca Tobar",$ 235.000,$ 40.000,"Independencia, Doctor Carlos Lorca Tobar",32 m²,1,1
"Providencia, Las dalias",$ 700.000,$ 90.000,"Providencia, Las dalias",55 m²,1,2
"Ñuñoa, Av. Vicuña Mackenna 660",$ 480.000,$ 70.000,"Ñuñoa, Av. Vicuña Mackenna 660",28 m²,1,1
"La Florida, Calle Pudeto 6579",$ 530.000,$ 120.000,"La Florida, Calle Pudeto 6579",72 m²,3,2
"Santiago, Zenteno",$ 330.000,$ 79.000,"Santiago, Zenteno",58 m²,2,1
"Ñuñoa, Av. Manuel Antonio Matta 040",$ 500.000,$ 100.000,"Ñuñoa, Av. Manuel Antonio Matta 040",48 m²,2,1
"Recoleta, Santos Dumont 560",$ 500.000,$ 95.000,"Recoleta, Santos Dumont 560",62 m²,2,2
"La Florida, Diagonal Los Castaños no5837",$ 440.000,$ 10.000,"La Florida, Diagonal Los Castaños no5837",75 m²,2,1
"Santiago, García reyes con erasmo escala",$ 320.000,$ 70.000,"Santiago, García reyes con erasmo escala",33 m²,1,1
"La Florida, Avenida Vicuña Mackenna Poniente",$ 340.000,$ 60.000,"La Florida, Avenida Vicuña Mackenna Poniente",35 m²,1,1
"La Florida, V. Mackenna con vicente valdés",$ 550.000,$ 90.000,"La Florida, V. Mackenna con vicente valdés",66 m²,2,2
"Santiago, San Francisco 632",$ 550.000,$ 150,"Santiago, San Francisco 632",70 m²,3,2
"Estación Central, Cuadro Verde 160",$ 450.000,$ 100,"Estación Central, Cuadro Verde 160",66 m²,3,2
"Santiago, Metro Parque Almagro Línea 3",$ 550.000,$ 110.000,"Santiago, Metro Parque Almagro Línea 3",45 m²,2,1
"Estación Central, Cnel. Souper 4158",$ 330.000,$ 65.000,"Estación Central, Cnel. Souper 4158",46 m²,2,1
"Ñuñoa, Castillo Urizar 1850",$ 650.000,$ 130.000,"Ñuñoa, Castillo Urizar 1850",68 m²,2,2
"Independencia, Avenida Inglaterra 1600",$ 390.000,$ 84.000,"Independencia, Avenida Inglaterra 1600",54 m²,2,2
"Quinta Normal, Avenida Matucana 700",$ 400.000,$ 100.000,"Quinta Normal, Avenida Matucana 700",52 m²,3,1
"Quinta Normal, Avenida Mapocho 4242",$ 340.000,$ 65.000,"Quinta Normal, Avenida Mapocho 4242",48 m²,2,1
"Macul, Av. Sergio Vieira de Mello 6220",$ 490.000,$ 90.000,"Macul, Av. Sergio Vieira de Mello 6220",55 m²,2,2
"Santiago, Dpto. 1 dormitorio  - Metro Parque Almagro",$ 315.000,$ 120.000,"Santiago, Dpto. 1 dormitorio  - Metro Parque Almagro",37 m²,1,1
"Cerrillos, Av. Departamental 3175",$ 500.000,$ 80.000,"Cerrillos, Av. Departamental 3175",56 m²,2,2
"Santiago, José Miguel Carrera 359",$ 360.000,$ 90.000,"Santiago, José Miguel Carrera 359",28 m²,1,1
"Santiago, Santo Domingo 2246",$ 220.000,$ 80,"Santiago, Santo Domingo 2246",29 m²,1,1
"Santiago, García Reyes 71",$ 200.000,$ 60.000,"Santiago, García Reyes 71",27 m²,1,1
"Las Condes, Acogedor dpto. Amoblado en las condes a pasos del metro","UF 24,00",$ 140.000,"Las Condes, Acogedor dpto. Amoblado en las condes a pasos del metro",50 m²,1,1
"Santiago, Nueva San Martín",$ 490.000,$ 120.000,"Santiago, Nueva San Martín",69 m²,2,2
"Macul, Juan Mitjans",$ 550.000,$ 96,"Macul, Juan Mitjans","54,18 m²",2,2
"Santiago, Sazié 1738",$ 360.000,$ 80.000,"Santiago, Sazié 1738",30 m²,1,1
"Santiago, Argomedo 320",$ 400.000,$ 60.000,"Santiago, Argomedo 320",40 m²,1,1
"Huechuraba, Av. los Libertadores 6170",$ 580.000,$ 75.000,"Huechuraba, Av. los Libertadores 6170",41 m²,2,1
"San Miguel, Centenario 890",$ 355.000,$ 35,"San Miguel, Centenario 890",35 m²,1,1
"Independencia, Hipódromo Chile 1876",$ 530.000,$ 80.000,"Independencia, Hipódromo Chile 1876",65 m²,2,2
"Huechuraba, Depto. Mariposa con Est y Bod, Guanaco Norte (127051)",$ 720.000,$ 90.000,"Huechuraba, Depto. Mariposa con Est y Bod, Guanaco Norte (127051)",60 m²,2,2
"Providencia, Excelente Dpto en Providencia 1d/1b/1e/1b (126919)",$ 950.000,$ 150.000,"Providencia, Excelente Dpto en Providencia 1d/1b/1e/1b (126919)",54 m²,1,1
"Santiago, Se arrienda departamento en santiago centro  (126933)",$ 280.000,$ 60.000,"Santiago, Se arrienda departamento en santiago centro  (126933)",30 m²,1,1
