Nombre_Arriendo,Precio ($),Gastos_Comunes ($),Comuna,Direccion,Metros (m²),Habitaciones,Baños
"Santiago, Nataniel Cox & Diez de Julio",390000,60000,Santiago,Nataniel Cox & Diez de Julio,53,2,1
"La Cisterna, Av. Fernández Albano 637",520000,75000,La Cisterna,Av. Fernández Albano 637,57,2,2
"San Miguel, Curiñanca 715",420000,80000,San Miguel,Curiñanca 715,60,2,2
"Independencia, Cruz 1275",370000,120000,Independencia,Cruz 1275,49,2,1
"Independencia, Nueva Andrés Bello 1860",350000,95000,Independencia,Nueva Andrés Bello 1860,47,3,1
"Santiago, San Isidro 635",320000,90000,Santiago,San Isidro 635,37,2,1
"Santiago, Maipú 848",380000,46000,Santiago,Maipú 848,36,2,1
"Santiago, Avenida presidente Balmaceda 2720",280000,68000,Santiago,Avenida presidente Balmaceda 2720,38,1,1
"Macul, Avenida Escuela Agrícola 1710",360000,105000,Macul,Avenida Escuela Agrícola 1710,40,1,1
"Santiago, Marcoleta 444",350000,65000,Santiago,Marcoleta 444,45,1,1
"Santiago, San Francisco 228",325000,100000,Santiago,San Francisco 228,58,2,1
"Providencia, Los Conquistadores 1923",870000,110000,Providencia,Los Conquistadores 1923,122,4,3
"Huechuraba, Avenida Pedro Fontova 7330",640000,150000,Huechuraba,Avenida Pedro Fontova 7330,65,2,2
"Santiago, Santiago 1355",260000,60000,Santiago,Santiago 1355,34,1,1
"Santiago, San Isidro 661",280000,70000,Santiago,San Isidro 661,30,1,1
"Ñuñoa, Av. Vicuña Mackenna 2362",400000,65000,Ñuñoa,Av. Vicuña Mackenna 2362,37,1,1
"Santiago, Portugal 958",335000,35000,Santiago,Portugal 958,32,1,1
"Ñuñoa, Doctor Johow 202",700000,40000,Ñuñoa,Doctor Johow 202,79,3,2
"La Florida, Avenida Vicuña Mackenna Poniente 6689",400000,55000,La Florida,Avenida Vicuña Mackenna Poniente 6689,35,1,1
"Ñuñoa, Av. Gral. Bustamante 1015",600000,120000,Ñuñoa,Av. Gral. Bustamante 1015,60,2,2
"San Miguel, Décima Avenida 1210",500000,90000,San Miguel,Décima Avenida 1210,65,3,2
"Ñuñoa, Francisco de Villagra 161",550000,98000,Ñuñoa,Francisco de Villagra 161,50,1,1
"La Florida, Avenida Vicuña Mackenna 6491",520000,78000,La Florida,Avenida Vicuña Mackenna 6491,70,2,2
"San Miguel, San Ignacio 2903",490000,70000,San Miguel,San Ignacio 2903,55,2,1
"Santiago, Avenida Santa Isabel 489",460000,110000,Santiago,Avenida Santa Isabel 489,54,2,2
"San Joaquín, Av. Vicuña Mackenna",620000,150000,San Joaquín,Av. Vicuña Mackenna,84,3,2
"Ñuñoa, Los Alerces 2660",450000,120000,Ñuñoa,Los Alerces 2660,32,1,1
"San Miguel, Octava Avenida 1563",620000,120000,San Miguel,Octava Avenida 1563,68,3,2
"Quinta Normal, Avenida Carrascal 6255",300000,80000,Quinta Normal,Avenida Carrascal 6255,38,2,1
"Santiago, San Pablo 2966",300000,80000,Santiago,San Pablo 2966,42,2,1
"Santiago, Avenida Vicuña Mackenna 1231",270000,50000,Santiago,Avenida Vicuña Mackenna 1231,36,1,1
"San Miguel, Décima Avenida 1180",330000,50000,San Miguel,Décima Avenida 1180,41,1,1
"San Joaquín, Av. Vicuña Mackenna 2289",450000,90000,San Joaquín,Av. Vicuña Mackenna 2289,60,2,2
"Quinta Normal, Catedral 4245",250000,50000,Quinta Normal,Catedral 4245,41,1,1
"San Joaquín, Av. Vicuña Mackenna 3737",420000,80000,San Joaquín,Av. Vicuña Mackenna 3737,61,2,2
"San Miguel, Cuarta Avenida 1170",420000,80000,San Miguel,Cuarta Avenida 1170,45,2,1
"Independencia, Carrión 1390",380000,90000,Independencia,Carrión 1390,60,2,1
"Ñuñoa, Av. José Pedro Alessandri",630000,80000,Ñuñoa,Av. José Pedro Alessandri,58,2,2
"San Miguel, Avenida Centenario 1000",560000,75000,San Miguel,Avenida Centenario 1000,60,3,2
"Cerrillos, Martín de Solier 4540",300000,70000,Cerrillos,Martín de Solier 4540,33,1,1
"San Miguel, Gran Avenida 6250",299000,60000,San Miguel,Gran Avenida 6250,35,1,1
"San Joaquín, Pintor Cicarelli 278",280000,65000,San Joaquín,Pintor Cicarelli 278,34,1,1
"Santiago, Diagonal Vicuña Mackenna",465000,120000,Santiago,Diagonal Vicuña Mackenna,47,2,1
"Santiago, Enrique Mac Iver 120",450000,56000,Santiago,Enrique Mac Iver 120,50,1,1
"Santiago, Coquimbo 56",320000,58000,Santiago,Coquimbo 56,35,1,1
"Ñuñoa, San Eugenio 1209",325000,30,Ñuñoa,San Eugenio 1209,24,1,1
"Santiago, San Pablo 2966",250000,70000,Santiago,San Pablo 2966,36,1,1
"La Florida, Lago Pirihueico",330000,60000,La Florida,Lago Pirihueico,32,1,1
"Las Condes, Américo Vespucio Norte & Cerro Colorado",1800,187000,Las Condes,Américo Vespucio Norte & Cerro Colorado,140,4,3
"Santiago, Avenida Manuel Antonio Matta",320000,87000,Santiago,Avenida Manuel Antonio Matta,34,1,1
"Recoleta, Dardignac 28",460000,75000,Recoleta,Dardignac 28,60,2,2
"La Reina, Loreley 1058, la reina",1100,155000,La Reina,"Loreley 1058, la reina",120,4,3
"Ñuñoa, Avenida Sucre 1900",980000,250000,Ñuñoa,Avenida Sucre 1900,76,3,2
"Ñuñoa, Avenida Irarrázaval & Avenida Campos de Deportes",550000,80000,Ñuñoa,Avenida Irarrázaval & Avenida Campos de Deportes,65,2,1
"Santiago, Av.sta rosa 249",320000,80000,Santiago,Av.sta rosa 249,45,2,2
